Departure,Departure station,Return station,Covered distance (m),Duration (sec.)
2024-08-03 23:59:37,Aiguelongue,Corum,1531.0,452
2024-08-03 23:56:45,Fac de Lettres,Tonnelles,2897.0,1263
2024-08-03 23:56:42,Louis Blanc,Boutonnet,1229.0,563
2024-08-03 23:55:41,Nouveau Saint-Roch,Gambetta,1304.0,643
2024-08-03 23:53:02,Place Viala,Place Viala,1662.0,755
2024-08-03 23:51:30,Louis Blanc,Boutonnet,1308.0,876
2024-08-03 23:51:08,Louis Blanc,Louis Blanc,91.0,299
2024-08-03 23:50:03,Louis Blanc,Louis Blanc,0.0,16
2024-08-03 23:40:10,Comédie,Port Marianne,2981.0,1701
2024-08-03 23:39:21,Comédie,Comédie,0.0,17
2024-08-03 23:38:34,Comédie,Comédie,7557.0,3911
2024-08-03 23:37:38,Comédie,Port Marianne,3018.0,1858
2024-08-03 23:31:02,Foch,Charles Flahault,1116.0,410
2024-08-03 23:26:59,Louis Blanc,Aiguelongue,1762.0,992
2024-08-03 23:24:22,Garcia Lorca,Garcia Lorca,12944.0,7568
2024-08-03 23:23:59,Pérols Etang de l'Or,Voltaire,8014.0,2311
2024-08-03 23:23:05,Jardin de la Lironde,Médiathèque Emile Zola,4251.0,2081
2024-08-03 23:22:22,Jardin de la Lironde,Antigone centre,3990.0,1916
2024-08-03 23:22:03,Albert 1er - Cathédrale,Aiguelongue,2362.0,1217
2024-08-03 23:21:11,Albert 1er - Cathédrale,Louis Blanc,508.0,313
2024-08-03 23:18:33,Place Viala,Place Viala,1854.0,899
2024-08-03 23:17:24,Prés d'Arènes,Prés d'Arènes,10894.0,4774
2024-08-03 23:17:01,Prés d'Arènes,Prés d'Arènes,10622.0,4837
2024-08-03 23:13:55,Louis Blanc,Comédie,2262.0,796
2024-08-03 23:13:07,Saint-Guilhem - Courreau,Place Viala,2039.0,816
2024-08-03 23:11:39,Saint-Guilhem - Courreau,Saint-Guilhem - Courreau,0.0,17
2024-08-03 23:10:53,Louis Blanc,Louis Blanc,671.0,558
2024-08-03 23:10:08,Louis Blanc,Comédie,1972.0,990
2024-08-03 23:10:08,Louis Blanc,Louis Blanc,869.0,556
2024-08-03 23:09:09,Louis Blanc,Louis Blanc,2.0,18
2024-08-03 23:09:02,Louis Blanc,Louis Blanc,0.0,222
2024-08-03 23:08:52,Louis Blanc,Louis Blanc,626.0,675
2024-08-03 23:08:22,Louis Blanc,Louis Blanc,702.0,668
2024-08-03 23:06:50,Louis Blanc,Comédie,2219.0,1181
2024-08-03 23:06:33,Gambetta,Pérols Etang de l'Or,19323.0,33165
2024-08-03 23:01:40,Corum,Halles Castellane,965.0,565
2024-08-03 22:55:56,Comédie,Place Viala,2672.0,1086
2024-08-03 22:55:13,Celleneuve,Celleneuve,18.0,117
2024-08-03 22:51:11,Place Viala,Foch,1735.0,751
2024-08-03 22:50:48,Renouvier,Comédie,1161.0,454
2024-08-03 22:50:46,Place Viala,Observatoire,2454.0,815
2024-08-03 22:50:39,Beaux-Arts,Garcia Lorca,4827.0,1635
2024-08-03 22:48:31,Observatoire,Observatoire,24.0,116
2024-08-03 22:47:39,Aiguelongue,Corum,4112.0,1861
2024-08-03 22:46:01,Observatoire,Observatoire,24.0,106
2024-08-03 22:44:20,Celleneuve,Celleneuve,441.0,900
2024-08-03 22:37:30,Père Soulas,Corum,2962.0,771
2024-08-03 22:36:36,Port Marianne,Emile Combes,3169.0,1185
2024-08-03 22:36:30,Gare Saint-Roch,Prés d'Arènes,2403.0,789
2024-08-03 22:35:34,Port Marianne,Port Marianne,0.0,18
2024-08-03 22:33:28,Port Marianne,Port Marianne,0.0,19
2024-08-03 22:32:48,Port Marianne,Emile Combes,3077.0,1405
2024-08-03 22:28:58,Pérols Etang de l'Or,Hôtel de Ville,7502.0,2659
2024-08-03 22:28:48,Pérols Etang de l'Or,Hôtel de Ville,7520.0,2687
2024-08-03 22:28:12,Port Marianne,Saint-Guilhem - Courreau,2495.0,737
2024-08-03 22:23:07,Place Albert 1er - St Charles,Port Marianne,3565.0,1440
2024-08-03 22:21:18,Place Albert 1er - St Charles,Place Albert 1er - St Charles,0.0,23
2024-08-03 22:18:45,Observatoire,Port Marianne,2162.0,951
2024-08-03 22:17:09,Observatoire,Observatoire,20.0,57
2024-08-03 22:10:31,Charles Flahault,Port Marianne,4674.0,2192
